i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
159	-8891.96959835	3413.30732943	0.0	-8949.02563835	3461.07411416	-92.3956688293	-57.056040003505395	47.76678472498281	-92.39566882931376
160	-9062.08519417	3298.32927106	0.0	-9047.27057316	3244.19680575	46.2174498548	14.8146210069458	-54.132465314994135	46.21744985482647
161	-9228.24146816	3177.53835959	0.0	-9190.85453368	3190.82073696	81.7824233623	37.38693448330966	13.282377364508264	81.78242336227672
162	-9389.94228228	3050.977194	0.0	-9468.83356442	3090.90466211	-98.2979561004	-78.89128214002305	39.9274681046777	-98.29795610041299
163	-9546.68411401	2918.71423985	0.0	-9531.68789331	2926.33800688	-1.82213620616	14.996220695311507	7.623767035135032	-1.8221362061584472
164	-9697.95906844	2780.84501415	0.0	-9760.62173215	2804.89028804	33.6028176927	-62.662663704579955	24.045273883894524	33.602817692747124
165	-9843.25816395	2637.49307592	0.0	-9888.87788487	2636.98462005	-29.357312507	-45.61972092145612	-0.5084558729230793	-29.35731250700435
166	-9982.07486633	2488.81079065	0.0	-10043.6081978	2537.44266759	28.7394912108	-61.53333146005679	48.63187693853689	28.739491210757365
167	-10113.908839	2334.97983886	0.0	-10078.8922092	2412.02774559	74.6809650761	35.01662971971123	77.04790673470558	74.6809650761231
168	-10238.2698691	2176.21144083	0.0	-10198.8887063	2137.48745018	14.4940137942	39.38116277739306	-38.723990650299214	14.494013794211071
169	-10354.6819236	2012.74627333	0.0	-10278.0805052	2042.79920313	55.0919878263	76.60141838037336	30.052929796652705	55.091987826269104
170	-10462.6872802	1844.85405821	0.0	-10520.5722284	1940.04023881	33.4038728977	-57.884948280941195	95.18618060089318	33.403872897680344
171	-10561.8506759	1672.83280809	0.0	-10467.9894811	1704.4421131	-58.0617393134	93.86119482670841	31.60930500862571	-58.06173931343339
172	-10651.7634088	1497.00772053	0.0	-10570.2106581	1517.13515642	26.5971251488	81.5527506866589	20.127435886580585	26.597125148761293
173	-10732.0473259	1317.7297185	0.0	-10681.5410143	1276.3979082	-0.253616790227	50.50631161576385	-41.331810294974524	-0.25361679022672945
174	-10802.3586291	1135.37364278	0.0	-10828.3699038	1208.02465366	-40.3266832578	-26.011274680056218	72.65101088052864	-40.32668325784101
175	-10862.3914313	950.336109023	0.0	-10929.1315772	994.67587873	82.4859020778	-66.74014584309087	44.33976970690071	82.48590207783343
