i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
112	-1675.68673535	4147.47020911	0.0	-1677.05130029	4055.03550072	-35.5113913015	-1.3645649396554234	-92.43470839078007	-35.511391301521215
113	-1774.9699991	4181.56727164	0.0	-1773.26439448	4279.79797646	-19.912777471	1.7056046170666406	98.23070482000867	-19.91277747101931
114	-1876.61918946	4214.95571015	0.0	-1882.00299841	4284.598275	-37.21697078	-5.383808949969634	69.64256485705098	-37.21697077995798
115	-1980.67870861	4247.57919792	0.0	-1991.37473458	4312.82743623	83.5592280594	-10.696025972473166	65.24823831628584	83.55922805944061
116	-2087.19224204	4279.37827198	0.0	-2164.18698672	4364.60993277	-53.4497939796	-76.99474467255685	85.23166079244635	-53.4497939795884
117	-2196.2025535	4310.29020372	0.0	-2198.26790854	4252.87534834	29.4143028271	-2.0653550431020733	-57.414855379300114	29.41430282712301
118	-2307.75125942	4340.24886902	0.0	-2317.65755664	4260.40599676	42.2951478733	-9.906297224051826	-79.84287225957665	42.295147873286226
119	-2421.87858165	4369.18461877	0.0	-2354.47968882	4459.04396459	-27.5343439667	67.39889283413484	89.85934582860199	-27.53434396674797
120	-2538.62307692	4397.0241505	0.0	-2550.73509466	4307.07502178	-67.9572825531	-12.112017736882109	-89.94912871664124	-67.95728255307111
121	-2658.02134159	4423.69038245	0.0	-2597.79493494	4491.37715347	66.8564998387	60.226406642776396	67.68677101442753	66.85649983871684
122	-2780.10769019	4449.10233106	0.0	-2736.1043937	4351.59062206	8.11333311944	44.00329648534327	-97.51170899746793	8.113333119444334
123	-2904.91380635	4473.1749933	0.0	-2819.14593342	4429.22956413	-71.125220014	85.76787293211649	-43.94542916886497	-71.12522001399691
124	-3032.4683646	4495.81923561	0.0	-2985.62343474	4583.13372185	70.3479713189	46.844929862897544	87.31448623929367	70.34797131886162
125	-3162.79662159	4516.94169086	0.0	-3202.80988736	4478.38865312	99.3089960579	-40.013265773173416	-38.55303773724788	99.3089960578533
126	-3295.9199755	4536.4446656	0.0	-3368.66639714	4441.84903892	93.809258191	-72.74642163503358	-94.59562668705249	93.80925819095305
127	-3431.85549238	4554.22605971	0.0	-3363.37924537	4493.7491243	80.8657942971	68.47624700449524	-60.47693540304093	80.86579429707848
128	-3570.6153982	4570.1793007	0.0	-3599.48576659	4652.69452889	94.1771766891	-28.87036839719275	82.51522819373395	94.17717668913417
129	-3712.20653595	4584.19329572	0.0	-3741.82237064	4608.31629359	-97.4023723236	-29.61583469322173	24.122997872659056	-97.40237232355926
130	-3856.62978687	4596.1524038	0.0	-3837.863682	4577.79586502	-75.7716748579	18.766104869077907	-18.35653877812031	-75.77167485792361
131	-4003.87945551	4605.93643194	0.0	-3993.37956543	4701.90843667	-49.8893969479	10.49989008028129	95.9720047360471	-49.88939694788317
132	-4153.94261865	4613.42065815	0.0	-4232.74136261	4623.11089491	79.2805403303	-78.7987439606228	9.690236759426682	79.28054033033541
133	-4306.79843828	4618.4758856	0.0	-4271.88771743	4665.32480576	41.7095977629	34.910720846473566	46.84892016779233	41.70959776289408
134	-4462.41743961	4620.9685315	0.0	-4523.58875494	4585.27253552	70.3305676612	-61.171315335738896	-35.6959959768447	70.33056766120785
135	-4620.76075542	4620.76075542	0.0	-4607.57966299	4681.68846025	-72.3700991601	13.181092430547835	60.92770483447882	-72.37009916008279
136	-4781.77933892	4617.7106312	0.0	-4873.15920579	4642.85654635	93.2339790348	-91.37986687093158	25.145915149156053	93.23397903480054
137	-4945.41314779	4611.6723675	0.0	-4877.76179591	4695.90602264	-85.7184140691	67.65135187985959	84.23365514227166	-85.71841406910615
138	-5111.59030307	4602.49658168	0.0	-5038.72312752	4615.93551746	-23.0356448558	72.86717555197052	13.438935779549041	-23.035644855818276
139	-5280.22622749	4590.03063222	0.0	-5376.99873758	4549.31643622	-47.4763188062	-96.77251009539462	-40.714196004120495	-47.47631880623315
140	-5451.22276879	4574.11901476	0.0	-5459.92722055	4596.31773638	37.3299876456	-8.70445175966006	22.1987216179145	37.329987645550176
141	-5624.46731478	4554.60382674	0.0	-5707.38599665	4572.45169776	77.6003471444	-82.91868187443534	17.8478710264598	77.60034714440803
142	-5799.83190798	4531.32530586	0.0	-5892.85079278	4499.57492701	-14.738142256	-93.01888480097212	-31.750378848463484	-14.738142255950265
143	-5977.17236923	4504.122447	0.0	-5946.40263517	4462.90669192	68.1127117058	30.769734064927917	-41.21575508245581	68.11271170575975
144	-6156.32744077	4472.83370205	0.0	-6070.13327406	4462.17118096	59.535278734	86.19416671413722	-10.662521084060344	59.53527873396354
145	-6337.11796086	4437.29776672	0.0	-6412.67542393	4396.38377518	75.6511685465	-75.55746306569723	-40.91399154316198	75.651168546469
146	-6519.34608355	4397.3544576	0.0	-6462.78467691	4432.8349557	-8.21957438102	56.56140663394925	35.480498109355835	-8.219574381018461
147	-6702.79455845	4352.8456819	0.0	-6783.56680854	4369.32592805	17.2317956324	-80.77225009013478	16.48024615155572	17.231795632418454
148	-6887.22608708	4303.61650149	0.0	-6929.17220577	4286.74591344	-60.1325039205	-41.94611869545821	-16.870588049406024	-60.13250392053462
149	-7072.38277349	4249.51629128	0.0	-7018.20037385	4165.14850146	-87.614533006	54.18239964084481	-84.36778981652948	-87.61453300604971
150	-7257.98568826	4190.39999089	0.0	-7322.10356931	4266.0752048	-48.106736048	-64.1178810490925	75.67521391037798	-48.106736048014454
151	-7443.73456599	4126.12944654	0.0	-7519.01561655	4058.97030674	-37.7878151489	-75.2810505624495	-67.15913979993478	-37.78781514892848
152	-7629.30765721	4056.57483838	0.0	-7578.41749865	4071.61115124	-72.8506168682	50.89015855569602	15.03631286102754	-72.85061686817882
153	-7814.36175618	3981.61618633	0.0	-7844.06322387	3893.28901708	-16.9606426781	-29.70146769811761	-88.32716924831503	-16.96064267811255
154	-7998.53242619	3901.14492495	0.0	-7924.92029426	3897.94126165	93.4651929096	73.61213192856877	-3.2036633064084157	93.46519290955416
155	-8181.43444363	3815.06553576	0.0	-8241.32875317	3882.6106649	19.8568937542	-59.89430954232684	67.54512914023147	19.85689375416382
156	-8362.66248124	3723.2972222	0.0	-8389.01900145	3666.82185351	2.29571376175	-26.35652020700587	-56.47536869412166	2.2957137617511307
157	-8541.7920496	3625.77561035	0.0	-8637.64742269	3547.40719047	-25.6197913722	-95.85537309623675	-78.36841988038199	-25.61979137216599
158	-8718.38071363	3522.45445512	0.0	-8785.36386541	3506.1779882	-14.8551024493	-66.98315177853465	-16.276466925846236	-14.855102449281304
159	-8891.96959835	3413.30732943	0.0	-8951.93331996	3499.85958093	17.8908633481	-59.963721613714014	86.55225149700328	17.890863348134147
160	-9062.08519417	3298.32927106	0.0	-9117.49818721	3374.90665331	13.6264072012	-55.412993044304116	76.57738224400359	13.62640720115418
161	-9228.24146816	3177.53835959	0.0	-9217.69745153	3124.6156954	-16.9385807823	10.54401663069055	-52.922664197009084	-16.93858078232722
