,x,y,z,x+dif,y+dif,z+dif,xdif,ydif,zdif
102,-803.022707349,3777.92480759,0,-803.655980671,3734.64864325,33.5274820085,-0.633273321902863,-43.2761643385722,33.5274820084641
103,-881.13415985,3816.6113554,0,-803.452347808,3851.08154633,45.1291301194,77.6818120422873,34.4701909328356,45.1291301193938
104,-961.161220121,3855.00709572,0,-981.042646594,3834.99024665,-4.64164656352,-19.8814264734354,-20.0168490701798,-4.6416465635228
105,-1043.14775492,3893.08042115,0,-1014.65530642,3961.0935928,12.6015553632,28.4924484937032,68.0131716494924,12.601555363187
106,-1127.13811723,3930.79775024,0,-1075.3815262,4010.51059171,-26.4143813771,51.7565910376315,79.7128414686306,-26.4143813770766
107,-1213.17707918,3968.12342613,0,-1177.41683829,3896.98329133,6.31752194224,35.76024088969,-71.140134797886,6.31752194224259
108,-1301.30975561,4005.01961159,0,-1221.39601451,4007.10663221,-53.1037114874,79.9137410945169,2.08702061372099,-53.1037114873865
109,-1391.58151753,4041.44618038,0,-1410.45155884,3993.18866269,-9.71822769614,-18.8700413139732,-48.2575176909772,-9.71822769614124
110,-1484.03789459,4077.360605,0,-1456.54317104,4124.48432004,0.148236306246,27.4947235548473,47.1237150358294,0.148236306246147
111,-1578.72446548,4112.7178412,0,-1599.78031689,4065.80744296,-59.2806526273,-21.0558514114393,-46.9103982395309,-59.2806526273218
112,-1675.68673535,4147.47020911,0,-1650.49158896,4100.14406321,-93.6250758991,25.1951463891414,-47.3261459022042,-93.6250758991292
113,-1774.9699991,4181.56727164,0,-1741.90394179,4231.93502016,-42.9696023953,33.0660573133918,50.3677485113626,-42.9696023953413
114,-1876.61918946,4214.95571015,0,-1873.73357373,4179.98854333,-89.9276863901,2.88561572949052,-34.9671668142134,-89.9276863900509
115,-1980.67870861,4247.57919792,0,-1889.77080984,4343.91333635,22.2885884498,90.90789877335,96.3341384340218,22.2885884497537
116,-2087.19224204,4279.37827198,0,-2014.89789498,4336.18044639,28.8388204302,72.2943470699316,56.8021744081389,28.838820430212
117,-2196.2025535,4310.29020372,0,-2109.67742014,4409.38909146,-16.8919552295,86.5251333584294,99.0988877451752,-16.8919552295164
118,-2307.75125942,4340.24886902,0,-2263.28759897,4382.52100137,-60.9515501933,44.4636604460326,42.2721323492632,-60.9515501933065
119,-2421.87858165,4369.18461877,0,-2488.91423782,4430.75028448,32.2569255785,-67.0356561691713,61.5656657182471,32.2569255784973
120,-2538.62307692,4397.0241505,0,-2480.3828373,4325.31003592,-47.164937732,58.2402396254566,-71.7141145773517,-47.1649377319802
121,-2658.02134159,4423.69038245,0,-2618.64452102,4501.49092296,-34.1799003152,39.3768205716556,77.8005405083475,-34.1799003152059
122,-2780.10769019,4449.10233106,0,-2823.24911966,4368.19913488,92.7764162377,-43.1414294761564,-80.9031961744591,92.7764162377333
123,-2904.91380635,4473.1749933,0,-2814.9552311,4536.96391495,-73.3500249731,89.9585752530618,63.7889216447756,-73.350024973051
124,-3032.4683646,4495.81923561,0,-2933.2244905,4418.65067331,-49.2253145925,99.2438741030612,-77.1685622983222,-49.225314592512
125,-3162.79662159,4516.94169086,0,-3198.42076399,4571.48217015,79.5421820067,-35.624142399274,54.540479291158,79.5421820067079
126,-3295.9199755,4536.4446656,0,-3273.64075304,4521.45611144,56.9011145747,22.2792224667791,-14.9885541607719,56.9011145746565
127,-3431.85549238,4554.22605971,0,-3370.88354347,4501.73458165,73.2808169452,60.9719489025454,-52.4914780546578,73.2808169451935
128,-3570.6153982,4570.1793007,0,-3575.08528662,4521.56313621,-38.6116787386,-4.4698884276382,-48.6161644862216,-38.6116787385883
129,-3712.20653595,4584.19329572,0,-3625.33296557,4518.56042163,20.9410188719,86.8735703826157,-65.6328740802509,20.9410188719277
130,-3856.62978687,4596.1524038,0,-3873.21084979,4681.80013527,50.9391555378,-16.5810629212113,85.647731468484,50.9391555378377
131,-4003.87945551,4605.93643194,0,-3943.33154683,4586.48696284,-72.1869976726,60.5479086808728,-19.4494690933359,-72.1869976726358
132,-4153.94261865,4613.42065815,0,-4135.68710068,4552.69383078,-86.8415262346,18.255517964314,-60.7268273760518,-86.8415262345836
133,-4306.79843828,4618.4758856,0,-4364.17465673,4615.83565992,-90.7110659232,-57.3762184442426,-2.64022567176738,-90.7110659232196
134,-4462.41743961,4620.9685315,0,-4427.66034095,4716.19545006,27.8739142844,34.7570986598713,95.2269185580489,27.8739142844152
135,-4620.76075542,4620.76075542,0,-4660.80756714,4697.21126454,-55.4650757075,-40.0468117190145,76.4505091281656,-55.4650757075039
136,-4781.77933892,4617.7106312,0,-4734.60543356,4644.14704747,29.4043683748,47.173905361406,26.4364162732231,29.4043683748403
137,-4945.41314779,4611.6723675,0,-4957.14238128,4700.94278163,-2.04096320168,-11.7292334893257,89.2704141271832,-2.04096320168459
138,-5111.59030307,4602.49658168,0,-5134.82827747,4674.06311981,31.381560688,-23.2379744023754,71.5665381369248,31.3815606880087
139,-5280.22622749,4590.03063222,0,-5369.47609657,4624.81007041,5.20797637106,-89.2498690826818,34.7794381879926,5.2079763710607
140,-5451.22276879,4574.11901476,0,-5382.98529972,4523.16344623,-21.1035611449,68.2374690690741,-50.9555685243685,-21.1035611448892
141,-5624.46731478,4554.60382674,0,-5652.83094692,4634.9707479,-92.0615646805,-28.3636321455885,80.3669211692141,-92.0615646805476
142,-5799.83190798,4531.32530586,0,-5736.48117658,4468.35766725,-65.035883852,63.3507314048497,-62.9676386076159,-65.0358838520102
143,-5977.17236923,4504.122447,0,-5880.6336712,4549.73606765,31.9865832022,96.5386980373481,45.613620655968,31.9865832021741
144,-6156.32744077,4472.83370205,0,-6226.95681769,4530.73189709,7.53657006829,-70.6293769203315,57.8981950459257,7.53657006828962
145,-6337.11796086,4437.29776672,0,-6347.41937613,4375.53527373,67.3119692496,-10.3014152645965,-61.7624929875255,67.3119692495543
146,-6519.34608355,4397.3544576,0,-6586.30464424,4417.63757682,28.2504870409,-66.9585606888058,20.2831192276757,28.2504870408559
147,-6702.79455845,4352.8456819,0,-6629.61384073,4300.26906924,-52.8709984836,73.180717713105,-52.5766126559491,-52.8709984835648
148,-6887.22608708,4303.61650149,0,-6851.36172691,4364.60436184,52.8584193342,35.8643601695291,60.987860355048,52.8584193341969
149,-7072.38277349,4249.51629128,0,-7142.00275983,4172.0529008,-66.1451582439,-69.6199863460547,-77.46339047962,-66.1451582438704
150,-7257.98568826,4190.39999089,0,-7160.14123224,4164.71015047,-67.0806298086,97.844456014313,-25.6898404162788,-67.0806298085808
151,-7443.73456599,4126.12944654,0,-7445.72051035,4203.84031761,-52.4554931547,-1.98594436334287,77.7108710734223,-52.4554931546591
152,-7629.30765721,4056.57483838,0,-7557.6982091,4113.3659813,-26.193371,71.6094481107186,56.7911429181329,-26.1933709999787
153,-7814.36175618,3981.61618633,0,-7733.42388094,3953.96331163,98.5596150325,80.9378752413904,-27.6528746960193,98.5596150324918
154,-7998.53242619,3901.14492495,0,-8034.1838568,3826.07018037,23.9326142654,-35.6514306109467,-75.0747445845432,23.9326142653888
155,-8181.43444363,3815.06553576,0,-8130.9317842,3794.36770455,-60.1109912106,50.5026594338009,-20.6978312074509,-60.1109912105835
156,-8362.66248124,3723.2972222,0,-8310.1271133,3753.74469957,47.7377676822,52.5353679407731,30.4474773708791,47.7377676821705
157,-8541.7920496,3625.77561035,0,-8511.98356463,3689.17312843,19.6961639652,29.8084849678079,63.3975180806196,19.6961639652004
158,-8718.38071363,3522.45445512,0,-8660.21434732,3522.28365309,8.94102865382,58.1663663133655,-0.170802030189932,8.94102865382334
159,-8891.96959835,3413.30732943,0,-8944.70775008,3364.92600984,-35.0673572837,-52.7381517294614,-48.3813195951905,-35.0673572837255
160,-9062.08519417,3298.32927106,0,-9044.86229362,3214.17848046,14.4260784954,17.2229005526374,-84.1507906040706,14.4260784954371
161,-9228.24146816,3177.53835959,0,-9236.2446209,3187.45376614,38.8732876943,-8.00315273071152,9.91540654621885,38.8732876942815
162,-9389.94228228,3050.977194,0,-9409.44601021,3009.37838532,-86.7026816652,-19.5037279323699,-41.5988086815816,-86.7026816651588
163,-9546.68411401,2918.71423985,0,-9495.05325443,2878.19568648,65.5682992485,51.6308595823146,-40.5185533645209,65.5682992485189
164,-9697.95906844,2780.84501415,0,-9786.4054499,2804.50304878,-9.35046743998,-88.4463814587615,23.6580346308429,-9.35046743998026
165,-9843.25816395,2637.49307592,0,-9876.13452764,2639.0412269,86.9535444463,-32.8763636868155,1.54815097973963,86.9535444463324
166,-9982.07486633,2488.81079065,0,-9914.28318626,2533.1509957,-12.5152895035,67.7916800702872,44.3402050462066,-12.5152895034877
167,-10113.908839,2334.97983886,0,-10032.0779564,2422.12429707,-20.4260207168,81.8308825137395,87.1444582116181,-20.4260207168017
168,-10238.2698691,2176.21144083,0,-10157.3972276,2231.03891035,-58.4090984043,80.8726414829317,54.8274695206266,-58.4090984043448
169,-10354.6819236,2012.74627333,0,-10359.5360106,2081.73908117,-62.402582043,-4.85408699879544,68.9928078426181,-62.4025820429856
170,-10462.6872802,1844.85405821,0,-10437.973888,1927.55410264,-26.2260850472,24.713392195207,82.7000444342275,-26.2260850471658
171,-10561.8506759,1672.83280809,0,-10518.0125395,1684.59782203,-96.1004853346,43.838136368267,11.7650139323631,-96.1004853346306
172,-10651.7634088,1497.00772053,0,-10727.4689352,1420.63371591,-43.6731675024,-75.7055264186429,-76.3740046154341,-43.6731675023657
173,-10732.0473259,1317.7297185,0,-10731.0900542,1237.30227125,-20.968988416,0.957271690557576,-80.4274472525414,-20.9689884160385
174,-10802.3586291,1135.37364278,0,-10901.3544703,1166.00835024,-68.642088197,-98.9958411988946,30.6347074630676,-68.6420881969845
175,-10862.3914313,950.336109023,0,-10888.2095688,991.206632518,-86.0854081236,-25.8181374468847,40.870523495225,-86.0854081236251
176,-10911.8809958,763.033050342,0,-10844.8636887,745.865513361,-30.9514036595,67.0173070717396,-17.1675369806506,-30.9514036594608
177,-10950.6065962,573.89697351,0,-10905.6728645,660.23585431,84.6266702223,44.9337317511774,86.3388808001018,84.6266702223461
178,-10978.3939419,383.373964234,0,-10898.6289351,464.572451199,83.1158019035,79.7650067322082,81.1984869656272,83.1158019034917
179,-10995.1171177,191.920483183,0,-11089.9362999,286.074265565,16.0159114698,-94.819182208463,94.1537823819619,16.0159114697809
180,-11000.7,1.34719720434E-12,0,-10956.2091786,-52.1332963472,4.36744024324,44.4908214090485,-52.1332963471668,4.36744024323563
181,-10995.1171177,-191.920483183,0,-10911.3864124,-232.479525304,-86.4584304782,83.7307053440796,-40.55904212124,-86.4584304782132
182,-10978.3939419,-383.373964234,0,-10950.2749452,-460.476580482,82.2429207102,28.1189966551672,-77.1026162478134,82.2429207102378
183,-10950.6065962,-573.89697351,0,-10987.3861156,-547.087395301,75.8503408168,-36.7795194143718,26.8095782088668,75.850340816814
